ACC#,CRESTA TRUCK ,SEQ
GAR033,GARDEN COURT ,1
RES047,RESLOUTION CIRCLE,2
GER001,GERMAN OLD AGE HOME,3
LAT022,LATE HARVEST CATERES AND EVENTS ,4
LAT040,LATE HARVEST CATERESRS COTTESLOE,5
NET061,NETCARE GARDEN CITY HOSPITAL ,6
WIT074,WITS TECHNOLOGY HOTEL SCHOOL,8
FED4568,FEDICS SANTAM BRAAMFONTEIN,9
VOV006,VOVOTELO BAKERY AND CAFÉ,10
CGA168,NETCARE HOSPITAL REHAB ,11
JOH011,JOHANNESBURG COUNTRY CLUB,12
SOD208,SODEXO MEDIAPARK,13
FED4635,FEDICS ABSA AUKLAND PAQRK,14
GLA017,GLAZE ,15
DRO029,DROS MELVILLE,16
SAU112,SAUSAGE SALOON MELVILLE,17
RAU001,UNIVERSITY OF JOHANNESBURG RAU,18
BIG033,BIG JIM ,19
SOD235,SODEXO BIC AFRICA,22
PIT864,BCE,24
CAR172,24/7 CARE HIUS HOEVELD ,25
JUM005,JUMBOLINA FARMERS,26
MON053,MONTGOMERY HAVEN FOR THE AGED,27
DRI016,DRIFTERS,28
CAR011,CARO HOUSE SA NURSES TRUST,29
OLI012,OLIVIA COFFEE SHOP,30
JOH112,JOHANNESBURG EYE CLINIC ,31
WHI069,THE WHIPPET COFFEE,32
BRO090,BRONTOS LINDEN ,33
PRA017,THE PRACTICE,34
CLO014,CLOUDS END CC,35
FED4814,FEDICS ABSA WINSOR ,36
NOR001,NORMA AND WILMA CATERERS,37
RES001,TNS RESEARCH ,38
MAR174,DARRENWOOD VILLAGE MARRY ANTOINETTE CATERERS,39
LUC040,LUCIO PIZZERIA,40
CAF768,CAFÉ FLAVA FLIGHT CENTRE CORPORATE,41
PEM016,PEMBURY FINCH HAVEN,43
FED4864,FEDICS SC JOHNSONS,44
FAI002,FAIRLAND VILLAGE ,45
MOS036,MOSIAK,46
FAI015,FAIRVIEW ON 14TH,47
FED4414,FEDICS ELMPARK,48
MVC002,MV CAFÉ MORELLES,49
FOO117,FOOOD,50
NIN001,NINOS CRESTA,51
POR096,PORTOBELLO,52
DOM007,DOMINIQUES,53
MIL086,MILKY LANE CRESTA,54
PLA064,PLAKA NORTHCLIFF RESTAURANT,55
BAR213,THE BARNYARD THEATER AT CRESTA ,56
BUR102,BURGER RACK ,57
CAL119,CALISTOS CRESTA MALL,58
CAP766,CAPE TOWN FISH MARKET CRESTA ,59
VIV043,VIVA BINGO WESTGATE T/A GOLDRUSH BINGO CRESTA ,60
