ACC#,CUSTOMER NAME ,SEQ
DUD005,DUDUZA - ESKOM HENDRINA POWER STATION PULLENSHOPE,1
VID115,VIDA EAST,2
RIN015,FEGO EAST - RINSA,3
HER083,HERMANSDAL LANDGOED CONFERENCE CENTRE AND LODGE,4
LAR046,LA ROCHELLE GUEST HOUSE,5
OLI003,OLIFANTS RIVER LODGE ,6
MID001,COUNTRY CLUB MIDDELBURG,7
FAR068,FARM INN,8
ADA020,ADA DISTRIBUTORS                                                 ,9
SCA011,SCARLET A CAFE FASHION & TEXTILES                                ,10
PAR048,OK JEPPE STR,11
THE305,PLANTATION GUEST HOUSE,12
HOE007,HOER TEGNIESE SKOOL MIDDELBURG,13
DEL006,DELROZA GUEST HOUSE,14
DEF009,MADODOS TRADING AND PROJECTS                                     ,15
CEL061,CELDEC TRADING AND PROJECTS                                      ,16
BUF043,BUFFALO LAKE SPUR                                                ,17
ALV004,ALVESTON MANOR,18
HOB007,HOBOS CAFÉ,19
WIL209,ORION GUEST HOUSE ,20
MAR382,MAROELA GAME TRAILS                                              ,21
MUL025,MULTI MEAT & CHICKEN WHOLESALERS ,22
GIN007,GINELLIS MIDDELBURG,23
MUG207,MUGG AND BEAN,24
PIE032,PIENNARDAM ONTSPANNINGSOORD,25
SAU122,SAUSAGE SALOON,26
SAU086,SAUSAGE SALOON MIDDELBURG                                        ,27
VIV035,VIVA BINGO MIDDELBURG,28
FEG082,FEGO MIDDELBURG MALL,29
LON066,SPUR MALL ,30
FRA134,FRANK MEAT RETAIL CITY ,31
CAF826,CAFÉ BARISTA,32
ALE046,ALESONS CATERING ,33
SHA166,SHALOM BUTCHERY                                                  ,34Id,Location Name,Sequence,Route Name,Latitude,Longtitude
DUD005,Eskom - Hendrina Power Station,1,MIDDELBURG 2 FINAL ROUTE,-26.0364634868105,29.6049785614014
RIN015,Shell Ultra City - N4 (East),2,MIDDELBURG 2 FINAL ROUTE,-25.8585766987642,29.3761110305786
HER083,Hermansdal Lodge - Conference Centre,3,MIDDELBURG 2 FINAL ROUTE,-25.8124283958698,29.3207663297653
LAR046,La Rochelle Guest Ranch,4,MIDDELBURG 2 FINAL ROUTE,-25.8146184086132,29.3711784482002
OLI003,Olifants River Lodge,5,MIDDELBURG 2 FINAL ROUTE,-25.7587350770723,29.3071031570435
MID001,Middelburg Country Club,6,MIDDELBURG 2 FINAL ROUTE,-25.7738466296766,29.4402533769608
ADA020,ADA Distributors,7,MIDDELBURG 2 FINAL ROUTE,-25.7669142988318,29.4520282745361
SCA011,Scarlet a Cafe Fashion & Textiles,8,MIDDELBURG 2 FINAL ROUTE,-25.7724940115537,29.473437666893
PAR048,Parthimon T/A OK Grocer,9,MIDDELBURG 2 FINAL ROUTE,-25.7846187164284,29.4678640365601
THE305,The Plantation Guesthouse,10,MIDDELBURG 2 FINAL ROUTE,-25.7804863117976,29.4604423642158
HOE007,Hoer Tegniese Skool - Middelburg,11,MIDDELBURG 2 FINAL ROUTE,-25.7774309931332,29.4597101211548
DEL006,Del Roza Guest House ,12,MIDDELBURG 2 FINAL ROUTE,-25.7707959709056,29.4585326313972
DEF009,Madodos Trading and Projects*,13,MIDDELBURG 2 FINAL ROUTE,-25.7771604789142,29.4488525390625
CEL061,Celdec Trading and Projects ,14,MIDDELBURG 2 FINAL ROUTE,-25.783513,29.447767
11cbc664-ac23-4b34-b457-07eb4222fb2e,Midwater Centre,15,MIDDELBURG 2 FINAL ROUTE,-25.7887292414295,29.450376033783
ALV004,Alveston Manor,16,MIDDELBURG 2 FINAL ROUTE,-25.7995144656163,29.4427424669266
WIL209,Wilcon Midnel JV,17,MIDDELBURG 2 FINAL ROUTE,-25.8036032,29.4508177
MAR382,Maroela Game Trails,18,MIDDELBURG 2 FINAL ROUTE,-25.789319,29.479138
MUL025,Multi Meat & Chicken,19,MIDDELBURG 2 FINAL ROUTE,-25.7952739078643,29.475234746933
GIN007,Fountain Square,20,MIDDELBURG 2 FINAL ROUTE,-25.8058412116448,29.4600051641464
MUG207,Middelburg Mall,21,MIDDELBURG 2 FINAL ROUTE,-25.8055997389888,29.453626871109
PIE032,Pienaardam Leisure Resort,22,MIDDELBURG 2 FINAL ROUTE,-25.8343604988721,29.4846653938293
FRA134,Middelburg Retail City,23,MIDDELBURG 2 FINAL ROUTE,-25.8097674879768,29.4603753089905
SHA166,Shalom Butchery,24,MIDDELBURG 2 FINAL ROUTE,-25.8078985387168,29.4622796773911
