ACC#,CUSTOMER NAME ,SEQ,ROUND
VIL074,VILLA ROSA - KOMATI,1,MIDDLEBURG 1
FED4281,FEDSERV ESKOM KOMATI POWER STATION                               ,2,MIDDLEBURG 1
VID116,VIDA WEST CFE MIDDLEBURG,3,MIDDLEBURG 1
RIN014,FEGO WEST RINSA,4,MIDDLEBURG 1
MER088,MERINO VLEISMARK                                                 ,5,MIDDLEBURG 1
ROY464,ROYAL MNANDI COLUMBUS STELLENBURG HOSTEL ,6,MIDDLEBURG 1
FED4280,FEDSERV CLUMBUS STAINLESS STEEL ,7,MIDDLEBURG 1
JOR005,JORMID ELECTRICAL,8,MIDDLEBURG 1
MAG105,MAGNIFICENT TREATS                                               ,9,MIDDLEBURG 1
MID066,MIDDLEBURG COLD STORAGE,10,MIDDLEBURG 1
FED4331,FEDSERV MIDDLEBURG FERROCHROME,11,MIDDLEBURG 1
RIV024,RIVERSIDE ESTATE,12,MIDDLEBURG 1
SAS047,SASOL - MIDDELBURG                                               ,13,MIDDLEBURG 1
OKG016,OK MEYER STR ,14,MIDDLEBURG 1
SAN401,SANDWICHBARON MIDDELBURG                                         ,15,MIDDLEBURG 1
ORE005,OREGON PLACE,16,MIDDLEBURG 1
LAR042,LA RIEKIE CATERING                                               ,17,MIDDLEBURG 1
MID002,MIDDLEBURG PRIVATE HOSPITAL,18,MIDDLEBURG 1
WIE146,WIESENHOF,19,MIDDLEBURG 1
FRA047,FRANKS MEAT ,20,MIDDLEBURG 1
THY017,THYME OUT COFFEE LOUNGE,21,MIDDLEBURG 1
PER025,PERSONNEL MANAGEMENT SERVICES,22,MIDDLEBURG 1
SAV006,S.A.V.F MIDDLEBURG TEHUIS,23,MIDDLEBURG 1
CAB015,CABBAGE AND ROSE COUNTRY VENUE                                   ,24,MIDDLEBURG 1
DUD005,DUDUZA - ESKOM HENDRINA POWER STATION PULLENSHOPE,1,MIDDLEBURG 2
HER083,HERMANSDAL LANDGOED CONFERENCE CENTRE AND LODGE,2,MIDDLEBURG 2
LAR046,LA ROCHELLE GUEST HOUSE,3,MIDDLEBURG 2
OLI003,OLIFANTS RIVER LODGE ,4,MIDDLEBURG 2
MID001,COUNTRY CLUB MIDDELBURG,5,MIDDLEBURG 2
FAR068,FARM INN,6,MIDDLEBURG 2
ADA020,ADA DISTRIBUTORS                                                 ,7,MIDDLEBURG 2
MAB040,MABHELE ASSOCIATES,8,MIDDLEBURG 2
SCA011,SCARLET A CAFE FASHION & TEXTILES                                ,9,MIDDLEBURG 2
PAR048,OK JEPPE STR,10,MIDDLEBURG 2
THE305,PLANTATION GUEST HOUSE,11,MIDDLEBURG 2
HOE007,HOER TEGNIESE SKOOL MIDDELBURG,12,MIDDLEBURG 2
DEL006,DELROZA GUEST HOUSE,13,MIDDLEBURG 2
DEF009,MADODOS TRADING AND PROJECTS                                     ,14,MIDDLEBURG 2
CEL061,CELDEC TRADING AND PROJECTS                                      ,15,MIDDLEBURG 2
BUF043,BUFFALO LAKE SPUR                                                ,16,MIDDLEBURG 2
ALV004,ALVESTON MANOR,17,MIDDLEBURG 2
HOB007,HOBOS CAFê,18,MIDDLEBURG 2
WIL209,ORION GUEST HOUSE ,19,MIDDLEBURG 2
MAR382,MAROELA GAME TRAILS                                              ,20,MIDDLEBURG 2
MUL025,MULTI MEAT & CHICKEN WHOLESALERS ,21,MIDDLEBURG 2
GIN007,GINELLIS MIDDELBURG,22,MIDDLEBURG 2
MUG207,MUGG AND BEAN,23,MIDDLEBURG 2
PIE032,PIENNARDAM ONTSPANNINGSOORD,24,MIDDLEBURG 2
SAU122,SAUSAGE SALOON,25,MIDDLEBURG 2
SAU086,SAUSAGE SALOON MIDDELBURG                                        ,26,MIDDLEBURG 2
VIV035,VIVA BINGO MIDDELBURG,27,MIDDLEBURG 2
FEG082,FEGO MIDDELBURG MALL,28,MIDDLEBURG 2
LON066,SPUR MALL ,29,MIDDLEBURG 2
FRA134,FRANK MEAT RETAIL CITY ,30,MIDDLEBURG 2
CAF826,CAFê BARISTA,31,MIDDLEBURG 2
ALE046,ALESONS CATERING ,32,MIDDLEBURG 2
SHA166,SHALOM BUTCHERY                                                  ,33,MIDDLEBURG 2
VID115,VIDA EAST,34,MIDDLEBURG 2
RIN015,FEGO EAST - RINSA,35,MIDDLEBURG 2
